,season,home_xGoals,home_shots,home_deep,home_ppda,home_fouls,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,away_xGoals,away_shots,away_deep,away_ppda,away_fouls,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_yellow_cards,home_redCards_binary,away_redCards_binary,home_yellowCards_cat,away_yellowCards_cat,home_shotsOnTarget_cat,away_shotsOnTarget_cat,home_corners_cat,away_corners_cat,home_total_blocked_shots_cat,away_total_blocked_shots_cat,home_total_saved_shots_cat,away_total_saved_shots_cat,time_category,away_rolling_xchain,home_discipline_score_avg,away_discipline_score_avg,gameresult,split
8859,2018,1.3999,12.0,5.0,9.6316,13.0,1.2926658559590571,9.0,3.2922157961875214,2.61648,22.0,7.0,11.3913,11.0,1.6915212757885456,17.0,4.105947859585284,2,False,False,1.0,2.0,5.0,11.0,5.0,7.0,2.0,5.0,2.0,6.0,1.0,2.8078189525753254,-21.471204214836447,-22.49998392858291,0,0.0
5421,2014,2.15635,14.0,8.0,28.3333,7.0,2.112302552908658,13.0,8.8064199090004,0.450279,13.0,5.0,17.2,12.0,0.3043086547404527,9.0,1.3677899595350034,1,False,False,0.0,1.0,11.0,4.0,8.0,10.0,3.0,5.0,5.0,2.0,1.0,2.5343986568972467,-13.277770401238666,-15.166658240745422,2,0.0
5809,2017,0.929512,9.0,7.0,8.16,9.0,0.8489185590296983,7.0,2.9630319997668257,0.306273,4.0,7.0,9.0625,8.0,0.30627271533012373,4.0,0.8403468728065482,2,False,False,2.0,2.0,1.0,4.0,12.0,9.0,5.0,2.0,0.0,2.0,0.0,3.0345024226233344,-21.899992700002432,-22.133325955558014,2,0.0
3293,2016,0.907655,9.0,1.0,15.2308,16.0,0.9076551301404825,9.0,3.4557189382612705,2.96499,21.0,4.824997960349188,7.4762,9.0,1.9341506622731681,12.0,9.939771346747875,3,False,False,1.0,3.0,6.0,11.0,6.0,12.0,1.0,8.0,4.0,5.0,0.0,1.9489132186397906,-23.371306746591245,-24.428568935860312,0,0.0
2366,2016,2.10383,16.0,7.0,12.625,4.0,1.5090867131948467,14.0,7.003915347158907,0.761557,7.0,3.0,15.0909,15.0,0.2866395916789772,6.0,1.3950850199908016,3,False,False,0.0,3.0,8.0,1.0,8.0,0.0,4.0,2.0,3.0,0.0,1.0,1.4188174728304142,-20.44687466182387,-24.705867820077753,2,0.0
2486,2016,2.18185,14.0,5.0,5.76,10.0,1.3899566493928428,11.0,2.3977048732340327,0.672058,11.0,5.0,13.6842,8.0,0.5287867523729797,7.0,1.48831814341247,2,False,False,1.0,2.0,7.0,4.0,10.0,7.0,2.0,5.0,2.0,2.0,1.0,3.676275150477886,-20.36767681465308,-23.36558888542055,2,0.0
1721,2016,3.53881,15.0,5.0,4.8438,15.0,0.581247605383396,8.0,1.7723644040524973,0.642731,7.0,5.0,16.9375,13.0,0.6065981816500416,6.0,3.538891486823559,4,False,True,2.0,4.0,9.0,6.0,2.0,1.0,3.0,2.0,5.0,3.0,1.0,5.148666876181962,-20.269252596626384,-22.07999705600039,2,0.0
12625,2020,2.44334,13.0,17.0,5.5714,9.0,2.029276460409166,11.0,7.8731798380613265,1.47384,12.0,4.0,27.125,15.0,1.37226563505828,9.0,6.563710367307066,0,False,False,1.0,0.0,7.0,8.0,11.0,6.0,3.0,1.0,2.0,4.0,0.0,2.3790607865899798,-17.333304444492594,-18.166636388939352,2,0.0
3195,2016,2.0053,16.0,3.0,23.1333,6.0,1.5166621673852212,12.0,3.383174836635593,2.23834,10.0,6.0,8.4722,20.0,1.8306738547980792,6.0,3.1905965544283394,4,False,False,2.0,4.0,11.0,6.0,8.0,1.0,2.0,3.0,4.0,1.0,0.0,2.97372166365385,-18.231187136746183,-22.46874765950545,2,0.0
1918,2015,2.33671,13.0,6.0,14.9545,13.0,1.7951321862638006,12.0,12.629261605441574,1.24162,13.0,4.0,10.5714,3.0,1.086259728297592,9.0,3.6316715674474827,2,False,False,1.0,2.0,10.0,1.0,6.0,5.0,2.0,3.0,6.0,1.0,1.0,1.6671377610415212,-23.06201453620012,-23.36206493757501,2,0.0
2727,2016,1.95451,13.0,8.0,7.9444,14.0,0.546211319044232,9.0,3.857525937259199,0.950035,9.0,7.0,9.0,8.0,0.8875099271535876,7.0,2.1484912652522326,1,False,False,1.0,1.0,8.0,7.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,1.5040695335716017,-25.074064787383413,-25.407397997260002,2,0.0
8641,2018,0.989434,12.0,4.0,7.8929,12.0,0.40718945953995017,8.0,0.9374150596559045,0.279649,9.0,6.0,13.3448,6.0,0.2520839348435402,7.0,0.23204365745186792,0,False,True,2.0,0.0,6.0,4.0,3.0,6.0,3.0,4.0,3.0,1.0,0.0,2.4929779706522814,-24.287301927920822,-20.312487304695434,2,0.0
2579,2016,1.54298,13.0,7.0,5.7179,22.0,1.5313484119251373,12.0,4.5467879343777895,1.48937,14.0,6.0,10.2308,18.0,1.2212551459670076,8.0,3.9770005717873556,1,False,True,5.0,1.0,7.0,6.0,5.0,7.0,4.0,6.0,3.0,2.0,1.0,1.3816130349412559,-22.39924043088756,-23.49997062503672,1,0.0
1731,2016,0.767442,10.0,5.0,6.6571,19.0,0.4247490279376506,4.0,2.103831861168146,1.22253,8.0,5.0,8.2,10.0,1.0835804287344222,6.0,3.036035522818564,1,True,False,1.0,1.0,4.0,6.0,7.0,5.0,4.0,0.0,1.0,3.0,1.0,6.219746796786787,-19.96930603021326,-22.0483853186786,1,0.0
5848,2017,1.83248,14.0,9.0,5.5714,9.0,1.6436833217740103,11.0,8.00990644842386,1.27359,16.0,4.824997960349188,9.3103,13.0,1.0299677345901728,11.0,3.944022662937641,2,False,False,1.0,2.0,8.0,11.0,7.0,7.0,3.0,1.0,2.0,5.0,0.0,3.5115877060219622,-23.760513785369195,-24.818178057851807,2,0.0
1220,2015,2.06666,21.0,6.0,7.0909,15.0,1.7928351555019622,15.0,4.781701244413851,1.79057,10.0,2.0,6.7586,17.0,1.7049870751798146,9.0,5.802542604506016,0,False,False,0.0,0.0,4.0,9.0,12.0,6.0,4.0,0.0,1.0,4.0,0.0,2.960611505806446,-23.06153491361001,-23.153842591716522,0,0.0
12349,2020,1.57132,16.0,5.0,8.1852,13.0,0.9516398794949061,12.0,1.9739860296249387,0.51703,8.0,3.0,7.5152,25.0,0.3746780604124067,6.0,1.9045134782791142,4,False,False,3.0,4.0,4.0,5.0,8.0,6.0,6.0,2.0,1.0,2.0,1.0,2.594648008979858,-14.5999708000584,-17.3999652000696,1,0.0
4161,2014,1.78719,14.0,8.0,12.2692,16.0,0.600615553557873,12.0,2.0555722303688513,1.25955,18.0,6.0,3.619,17.0,1.1073832735419278,15.0,2.0731947440654044,1,False,True,1.0,1.0,7.0,5.0,8.0,11.0,5.0,4.0,4.0,3.0,0.0,5.436814568191768,-14.747645019127726,-16.046151377515173,2,0.0
660,2015,2.60731,21.0,8.0,9.1818,14.0,0.9707219917327179,16.0,5.09762881882489,0.651895,18.0,2.0,9.0417,14.0,0.5741641595959666,14.0,2.541411755606532,1,False,False,1.0,1.0,11.0,7.0,9.0,10.0,5.0,6.0,5.0,4.0,1.0,1.0660809643566616,-21.826614257560163,-22.59999623333396,2,0.0
6319,2017,1.54139,15.0,9.0,19.4545,9.0,1.463393386453391,12.0,7.531505092978474,0.359568,9.0,1.0,12.3571,7.0,0.3010570751503115,6.0,0.6255142344161868,1,False,False,1.0,1.0,9.0,4.0,8.0,5.0,3.0,0.0,5.0,2.0,1.0,3.20161114372313,-20.368701094261585,-21.546871633301308,2,0.0
