,season,home_xGoals,home_shots,home_deep,home_ppda,home_fouls,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,away_xGoals,away_shots,away_deep,away_ppda,away_fouls,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_yellow_cards,home_redCards_binary,away_redCards_binary,home_yellowCards_cat,away_yellowCards_cat,home_shotsOnTarget_cat,away_shotsOnTarget_cat,home_corners_cat,away_corners_cat,home_total_blocked_shots_cat,away_total_blocked_shots_cat,home_total_saved_shots_cat,away_total_saved_shots_cat,time_category,away_rolling_xchain,home_discipline_score_avg,away_discipline_score_avg,gameresult
5437,2014,1.36787,9.0,2.0,31.6,15.0,1.2837298884987831,7.0,2.7842455375939617,2.65538,16.0,11.0,7.5,16.0,1.7257666131481524,10.0,9.98856502398849,2,False,False,0,2,3,6,1,5,3,3,1,2,Night,0.0,0.0,0.0,1
5438,2014,1.39689,14.0,2.0,5.7429,12.597073719752391,0.2321868930011986,6.0,0.8772006370127191,1.31751,9.0,1.0,4.7826,21.0,0.498085237108171,6.0,2.5249862400814873,1,False,False,3,1,4,4,1,4,7,3,1,2,Night,0.0,-22.999770002299975,-17.999820001799982,1
5439,2014,0.813737,9.0,3.0,7.0,12.0,0.7399550392292434,8.0,3.146696077659726,1.23869,12.0,1.0,21.2143,9.0,0.7098678350448606,9.0,3.464241683483124,1,False,False,1,1,2,7,5,6,2,0,2,4,Night,0.0,-17.499912500437496,-15.499922500387498,0
5440,2014,0.63294,6.0,3.0,16.0625,9.0,0.562167227268219,3.0,2.0097048804163924,1.49532,7.0,2.0,10.75,19.0,0.180900551378727,4.0,1.149532034993171,4,False,False,3,4,3,2,4,5,1,2,3,0,Night,0.0,-16.33327888907037,-15.333282222392592,0
5441,2014,1.54468,14.0,5.0,3.6087,9.0,0.8970670066773887,8.0,0.8649739045649768,0.0571371,2.0,0.0,21.0556,23.0,0.0,0.0,0.0343939736485482,1,False,False,0,1,3,1,8,3,5,0,3,1,Night,0.0,-13.249966875082814,-16.99995750010625,1
5442,2014,1.01756,15.0,2.0,11.2308,15.0,0.6226100716739895,7.0,1.9445653986185785,0.750184,7.0,3.0,10.2,21.0,0.5574273057281971,5.0,3.0087732560932636,2,False,False,2,2,3,3,5,1,6,1,3,2,Night,1.3432912206277252,-16.799966400067202,-17.599964800070403,0
5443,2014,1.025,14.0,3.0,11.84,8.0,0.8402584446594112,9.0,4.417293587699531,0.167128,5.0,2.0,21.8571,7.0,0.16712835617363442,5.0,0.4228138830512761,1,False,False,0,1,4,2,3,2,3,0,3,2,Night,0.6684490961953997,-16.99997166671389,-17.833303611160648,2
5444,2014,2.21481,22.0,11.0,12.4444,10.0,1.9368762942031028,16.0,6.506560940295454,1.56361,11.0,8.0,8.6,9.0,0.7559615643694998,6.0,4.016218863427639,1,False,False,0,1,8,6,12+,7,7,0,5,4,Night,1.0666269222274423,-17.571403469423615,-18.142831224526823,2
5445,2014,2.064,19.0,5.0,7.7419,19.0,0.6586541254073384,11.0,2.9098156504333015,0.375946,7.0,3.0,18.3125,13.0,0.2832718417048453,5.0,0.6913278475403787,1,False,False,2,1,6,1,5,1,4,0,4,1,After Noon,1.0529000194743277,-18.124977343778323,-18.499976875028906,2
5446,2014,2.09333,13.0,10.0,6.8667,11.0,1.3163435906171792,11.0,4.578008152544498,1.6254,9.0,0.0,21.7647,19.0,0.7203440722078082,4.0,1.7278485223650932,2,True,False,3,2,7,3,10,4,3,3,6,1,Night,1.041262220405042,-17.999980000022223,-19.555533827184636,0
