,Outlier count,Percent
away_redCards,1396.0,11.009463722397477
away_total_red_cards,1382.0,10.899053627760253
home_redCards,1078.0,8.501577287066246
home_total_red_cards,1064.0,8.391167192429021
away_total_assists,790.0,6.230283911671925
away_total_xGoalsBuildup,718.0,5.662460567823343
home_total_xGoalsBuildup,664.0,5.236593059936909
away_ppda,606.0,4.779179810725552
home_ppda,540.0,4.2586750788643535
away_total_xGoalsChain,538.0,4.242902208201893
home_total_saved_shots,532.0,4.195583596214511
home_total_xGoalsChain,523.0,4.124605678233439
away_deep,423.0,3.33596214511041
away_total_xAssists,389.0,3.0678233438485805
home_shotsOnTarget,351.0,2.7681388012618298
home_total_xAssists,346.0,2.728706624605678
away_xGoals,312.0,2.460567823343849
away_corners,283.0,2.2318611987381702
home_xGoals,276.0,2.176656151419558
home_fouls,241.0,1.9006309148264982
away_shotsOnTarget,233.0,1.837539432176656
home_total_blocked_shots,230.0,1.8138801261829656
home_deep,227.0,1.7902208201892744
away_total_blocked_shots,187.0,1.474763406940063
away_total_key_passes,169.0,1.332807570977918
home_shots,167.0,1.3170347003154574
away_shots,161.0,1.2697160883280756
home_corners,143.0,1.1277602523659307
home_total_key_passes,123.0,0.9700315457413249
away_total_saved_shots,95.0,0.749211356466877
away_fouls,81.0,0.6388012618296529
away_yellowCards,43.0,0.3391167192429022
home_yellowCards,37.0,0.29179810725552047
away_total_yellow_cards,26.0,0.2050473186119874
home_total_yellow_cards,20.0,0.15772870662460567
home_total_assists,20.0,0.15772870662460567
